Run No.,RE,Soil,Row,
EX,25.67,Dry,5,Example
1,,,,stef
2,,,,stef
3,,,,stef
4,,,,stef
5,,,,stef
6,,,,stef
7,,,,stef
8,,,,stef
9,,,,stef
10,,,,stef
11,,,,stef
12,,,,stef
13,,,,stef
14,,,,stef
15,,,,stef
16,,,,stef
17,,,,stef
18,,,,stef
19,,,,stef
20,,,,stef
21,,,,stef
22,,,,stef
23,,,,stef
24,,,,stef
25,,,,stef
26,,,,stef
27,,,,stef
28,,,,stef
29,,,,stef
30,,,,stef
31,,,,stef
32,,,,stef
33,,,,stef
34,,,,stef
35,,,,stef
36,,,,stef
37,,,,stef
38,,,,stef
39,,,,stef
40,,,,stef
41,,,,stef
42,,,,stef
43,,,,stef
44,,,,stef
45,,,,stef
46,,,,stef
47,,,,stef
48,,,,stef
49,,,,stef
50,,,,stef
51,,,,stef
52,,,,stef
53,,,,stef
54,,,,stef
55,,,,stef
56,,,,stef
57,,,,stef
58,,,,stef
59,,,,stef
60,,,,stef
61,,,,yao
62,,,,yao
63,,,,yao
64,,,,yao
65,,,,yao
66,,,,yao
67,,,,yao
68,,,,yao
69,,,,yao
70,,,,yao
71,,,,yao
72,,,,yao
73,,,,yao
74,,,,yao
75,,,,yao
76,,,,yao
77,,,,yao
78,,,,yao
79,,,,yao
80,,,,yao
81,,,,yao
82,,,,yao
83,,,,yao
84,,,,yao
85,,,,yao
86,,,,yao
87,,,,yao
88,,,,yao
89,,,,yao
90,,,,yao
91,,,,yao
92,,,,yao
93,,,,yao
94,,,,yao
95,,,,yao
96,,,,yao
97,,,,yao
98,,,,yao
99,,,,yao
100,,,,yao
101,,,,yao
102,,,,yao
103,,,,yao
104,,,,yao
105,,,,yao
106,,,,yao
107,,,,yao
108,,,,yao
109,,,,yao
110,,,,yao
111,,,,yao
112,,,,yao
113,,,,yao
114,,,,yao
115,,,,yao
116,,,,yao
117,,,,yao
118,,,,yao
119,,,,yao
120,,,,yao
121,,,,di
122,,,,di
123,,,,di
124,,,,di
125,,,,di
126,,,,di
127,,,,di
128,,,,di
129,,,,di
130,,,,di
131,,,,di
132,,,,di
133,,,,di
134,,,,di
135,,,,di
136,,,,di
137,,,,di
138,,,,di
139,,,,di
140,,,,di
141,,,,di
142,,,,di
143,,,,di
144,,,,di
145,,,,di
146,,,,di
147,,,,di
148,,,,di
149,,,,di
150,,,,di
151,,,,di
152,,,,di
153,,,,di
154,,,,di
155,,,,di
156,,,,di
157,,,,di
158,,,,di
159,,,,di
160,,,,di
161,,,,di
162,,,,di
163,,,,di
164,,,,di
165,,,,di
166,,,,di
167,,,,di
168,,,,di
169,,,,di
170,,,,di
171,,,,di
172,,,,di
